Municipio código	Municipio nombre	Personalidad jurídica	Explotaciones
50014	Alcalá de Moncayo	Persona física	40
50015	Alconchel de Ariza	Otras condiciones jurídicas	5
50015	Alconchel de Ariza	Persona física	22
50016	Aldehuela de Liestos	Persona física	18
50017	Alfajarín	Otras condiciones jurídicas	10
50017	Alfajarín	Persona física	99
50017	Alfajarín	Sociedad cooperativa	1
50017	Alfajarín	Sociedad mercantil	3
50018	Alfamén	Entidad pública	1
50018	Alfamén	Otras condiciones jurídicas	12
50018	Alfamén	Persona física	271
50018	Alfamén	Sociedad cooperativa	2
50018	Alfamén	Sociedad mercantil	11
50019	Alforque	Otras condiciones jurídicas	1
50019	Alforque	Persona física	6
50020	Alhama de Aragón	Otras condiciones jurídicas	1
50020	Alhama de Aragón	Persona física	27
50020	Alhama de Aragón	Sociedad mercantil	1
50021	Almochuel	Persona física	10
50022	Almolda (La)	Entidad pública	1
50022	Almolda (La)	Otras condiciones jurídicas	10
50022	Almolda (La)	Persona física	129
50022	Almolda (La)	Sociedad cooperativa	2
50022	Almolda (La)	Sociedad mercantil	3
50023	Almonacid de la Cuba	Otras condiciones jurídicas	5
50023	Almonacid de la Cuba	Persona física	71
50023	Almonacid de la Cuba	Sociedad mercantil	3
50024	Almonacid de la Sierra	Otras condiciones jurídicas	8
50024	Almonacid de la Sierra	Persona física	196
50024	Almonacid de la Sierra	Sociedad mercantil	10
50025	Almunia de Doña Godina (La)	Otras condiciones jurídicas	27
50025	Almunia de Doña Godina (La)	Persona física	344
50025	Almunia de Doña Godina (La)	Sociedad cooperativa	2
50025	Almunia de Doña Godina (La)	Sociedad mercantil	5
50026	Alpartir	Entidad pública	1
50026	Alpartir	Otras condiciones jurídicas	2
50026	Alpartir	Persona física	160
50026	Alpartir	Sociedad mercantil	1
50027	Ambel	Otras condiciones jurídicas	3
50027	Ambel	Persona física	106
50027	Ambel	Sociedad cooperativa	1
50027	Ambel	Sociedad mercantil	7
50028	Anento	Persona física	21
50028	Anento	Sociedad cooperativa	1
50029	Aniñón	Entidad pública	1
50029	Aniñón	Otras condiciones jurídicas	2
50029	Aniñón	Persona física	180
50029	Aniñón	Sociedad cooperativa	1
50029	Aniñón	Sociedad mercantil	1
50030	Añón de Moncayo	Otras condiciones jurídicas	2
50030	Añón de Moncayo	Persona física	25
50030	Añón de Moncayo	Sociedad mercantil	1
50031	Aranda de Moncayo	Otras condiciones jurídicas	2
50031	Aranda de Moncayo	Persona física	43
50031	Aranda de Moncayo	Sociedad mercantil	2
50032	Arándiga	Persona física	88
50032	Arándiga	Sociedad mercantil	1
50033	Ardisa	Persona física	16
50034	Ariza	Otras condiciones jurídicas	2
50034	Ariza	Persona física	61
50034	Ariza	Sociedad cooperativa	1
50035	Artieda	Entidad pública	1
50035	Artieda	Persona física	7
50035	Artieda	Sociedad cooperativa	2
50036	Asín	Entidad pública	1
50036	Asín	Otras condiciones jurídicas	1
50036	Asín	Persona física	8
50037	Atea	Otras condiciones jurídicas	1
50037	Atea	Persona física	74
50038	Ateca	Entidad pública	1
50038	Ateca	Otras condiciones jurídicas	1
50038	Ateca	Persona física	110
50038	Ateca	Sociedad mercantil	1
50039	Azuara	Entidad pública	1
50039	Azuara	Otras condiciones jurídicas	4
50039	Azuara	Persona física	122
50039	Azuara	Sociedad mercantil	1
50040	Badules	Persona física	26
50041	Bagüés	Entidad pública	1
50041	Bagüés	Otras condiciones jurídicas	3
50041	Bagüés	Persona física	6
50042	Balconchán	Entidad pública	1
50042	Balconchán	Persona física	13
50042	Balconchán	Sociedad cooperativa	1
50043	Bárboles	Otras condiciones jurídicas	6
50043	Bárboles	Persona física	36
50043	Bárboles	Sociedad mercantil	3
50044	Bardallur	Entidad pública	1
50044	Bardallur	Otras condiciones jurídicas	2
50044	Bardallur	Persona física	55
50044	Bardallur	Sociedad mercantil	3
50045	Belchite	Entidad pública	1
50045	Belchite	Otras condiciones jurídicas	13
50045	Belchite	Persona física	342
50045	Belchite	Sociedad cooperativa	3
50045	Belchite	Sociedad mercantil	5
50046	Belmonte de Gracián	Entidad pública	1
50046	Belmonte de Gracián	Otras condiciones jurídicas	1
50046	Belmonte de Gracián	Persona física	52
50047	Berdejo	Persona física	3
50048	Berrueco	Persona física	15
50048	Berrueco	Sociedad mercantil	1
50050	Bijuesca	Otras condiciones jurídicas	2
50050	Bijuesca	Persona física	16
50051	Biota	Entidad pública	2
50051	Biota	Otras condiciones jurídicas	18
50051	Biota	Persona física	173
50051	Biota	Sociedad mercantil	5
50052	Bisimbre	Otras condiciones jurídicas	1
50052	Bisimbre	Persona física	17
50052	Bisimbre	Sociedad cooperativa	1
50052	Bisimbre	Sociedad mercantil	2
50053	Boquiñeni	Otras condiciones jurídicas	4
50053	Boquiñeni	Persona física	75
50053	Boquiñeni	Sociedad mercantil	2
50054	Bordalba	Otras condiciones jurídicas	1
50054	Bordalba	Persona física	17
50055	Borja	Entidad pública	1
50055	Borja	Otras condiciones jurídicas	14
50055	Borja	Persona física	299
50055	Borja	Sociedad cooperativa	1
50055	Borja	Sociedad mercantil	1
50056	Botorrita	Otras condiciones jurídicas	1
50056	Botorrita	Persona física	19
50056	Botorrita	Sociedad cooperativa	1
50056	Botorrita	Sociedad mercantil	2
50057	Brea de Aragón	Entidad pública	1
50057	Brea de Aragón	Persona física	39
50058	Bubierca	Persona física	12
50059	Bujaraloz	Otras condiciones jurídicas	10
50059	Bujaraloz	Persona física	152
50059	Bujaraloz	Sociedad cooperativa	3
50059	Bujaraloz	Sociedad mercantil	1
50060	Bulbuente	Otras condiciones jurídicas	2
50060	Bulbuente	Persona física	73
50060	Bulbuente	Sociedad mercantil	1
50061	Bureta	Otras condiciones jurídicas	2
50061	Bureta	Persona física	48
50061	Bureta	Sociedad mercantil	1
50062	Burgo de Ebro (El)	Otras condiciones jurídicas	2
50062	Burgo de Ebro (El)	Persona física	44
50062	Burgo de Ebro (El)	Sociedad mercantil	9
50063	Buste (El)	Otras condiciones jurídicas	1
50063	Buste (El)	Persona física	24
50064	Cabañas de Ebro	Otras condiciones jurídicas	3
50064	Cabañas de Ebro	Persona física	36
50064	Cabañas de Ebro	Sociedad mercantil	1
50065	Cabolafuente	Otras condiciones jurídicas	1
50065	Cabolafuente	Persona física	10
50066	Cadrete	Otras condiciones jurídicas	2
50066	Cadrete	Persona física	18
50067	Calatayud	Entidad pública	1
50067	Calatayud	Otras condiciones jurídicas	5
50067	Calatayud	Persona física	184
50067	Calatayud	Sociedad cooperativa	3
50067	Calatayud	Sociedad mercantil	11
50068	Calatorao	Otras condiciones jurídicas	14
50068	Calatorao	Persona física	200
50068	Calatorao	Sociedad cooperativa	1
50068	Calatorao	Sociedad mercantil	3
50069	Calcena	Persona física	3
50070	Calmarza	Persona física	16
50071	Campillo de Aragón	Persona física	47
50072	Carenas	Persona física	19
50073	Cariñena	Entidad pública	1
50073	Cariñena	Otras condiciones jurídicas	22
50073	Cariñena	Persona física	397
50073	Cariñena	Sociedad cooperativa	4
50073	Cariñena	Sociedad mercantil	9
50074	Caspe	Otras condiciones jurídicas	29
50074	Caspe	Persona física	570
50074	Caspe	Sociedad cooperativa	7
50074	Caspe	Sociedad mercantil	34
50075	Castejón de Alarba	Otras condiciones jurídicas	1
50075	Castejón de Alarba	Persona física	40
50076	Castejón de las Armas	Persona física	18
50077	Castejón de Valdejasa	Entidad pública	1
50077	Castejón de Valdejasa	Persona física	74
50078	Castiliscar	Otras condiciones jurídicas	2
50078	Castiliscar	Persona física	72
50078	Castiliscar	Sociedad cooperativa	1
50078	Castiliscar	Sociedad mercantil	5
50079	Cervera de la Cañada	Entidad pública	1
50079	Cervera de la Cañada	Persona física	90
50080	Cerveruela	Entidad pública	1
50080	Cerveruela	Persona física	2
50081	Cetina	Entidad pública	1
50081	Cetina	Otras condiciones jurídicas	3
50081	Cetina	Persona física	54
50082	Cimballa	Persona física	17
50083	Cinco Olivas	Otras condiciones jurídicas	1
50083	Cinco Olivas	Persona física	11
50083	Cinco Olivas	Sociedad mercantil	1
50084	Clarés de Ribota	Persona física	21
50084	Clarés de Ribota	Sociedad mercantil	1
50085	Codo	Otras condiciones jurídicas	2
50085	Codo	Persona física	28
50086	Codos	Otras condiciones jurídicas	1
50086	Codos	Persona física	57
50087	Contamina	Persona física	8
50088	Cosuenda	Otras condiciones jurídicas	2
50088	Cosuenda	Persona física	133
50088	Cosuenda	Sociedad mercantil	1
50089	Cuarte de Huerva	Persona física	9
50089	Cuarte de Huerva	Sociedad mercantil	1
50090	Cubel	Persona física	58
50091	Cuerlas (Las)	Entidad pública	1
50091	Cuerlas (Las)	Persona física	31
50092	Chiprana	Entidad pública	1
50092	Chiprana	Otras condiciones jurídicas	3
50092	Chiprana	Persona física	30
50092	Chiprana	Sociedad mercantil	3
50093	Chodes	Otras condiciones jurídicas	1
50093	Chodes	Persona física	28
50094	Daroca	Otras condiciones jurídicas	1
50094	Daroca	Persona física	88
50094	Daroca	Sociedad mercantil	1
50095	Ejea de los Caballeros	Otras condiciones jurídicas	127
50095	Ejea de los Caballeros	Persona física	838
50095	Ejea de los Caballeros	Sociedad cooperativa	24
50095	Ejea de los Caballeros	Sociedad mercantil	49
50096	Embid de Ariza	Persona física	11
50098	Encinacorba	Persona física	64
50099	Épila	Otras condiciones jurídicas	22
50099	Épila	Persona física	310
50099	Épila	Sociedad cooperativa	3
50099	Épila	Sociedad mercantil	9
50100	Erla	Otras condiciones jurídicas	6
50100	Erla	Persona física	48
50101	Escatrón	Otras condiciones jurídicas	2
50101	Escatrón	Persona física	79
50101	Escatrón	Sociedad mercantil	1
50102	Fabara	Otras condiciones jurídicas	11
50102	Fabara	Persona física	234
50102	Fabara	Sociedad mercantil	14
50104	Farlete	Otras condiciones jurídicas	6
50104	Farlete	Persona física	80
50105	Fayón	Persona física	88
50105	Fayón	Sociedad mercantil	1
50106	Fayos (Los)	Persona física	9
50107	Figueruelas	Entidad pública	1
50107	Figueruelas	Otras condiciones jurídicas	3
50107	Figueruelas	Persona física	42
50107	Figueruelas	Sociedad mercantil	2
50108	Fombuena	Entidad pública	1
50108	Fombuena	Otras condiciones jurídicas	1
50108	Fombuena	Persona física	10
50108	Fombuena	Sociedad mercantil	5
50109	Frago (El)	Otras condiciones jurídicas	1
50109	Frago (El)	Persona física	14
50110	Frasno (El)	Persona física	168
50111	Fréscano	Entidad pública	1
50111	Fréscano	Otras condiciones jurídicas	4
50111	Fréscano	Persona física	29
50111	Fréscano	Sociedad cooperativa	1
50113	Fuendejalón	Otras condiciones jurídicas	8
50113	Fuendejalón	Persona física	238
50113	Fuendejalón	Sociedad cooperativa	1
50113	Fuendejalón	Sociedad mercantil	1
50114	Fuendetodos	Otras condiciones jurídicas	2
50114	Fuendetodos	Persona física	25
50114	Fuendetodos	Sociedad mercantil	1
50115	Fuentes de Ebro	Entidad pública	1
50115	Fuentes de Ebro	Otras condiciones jurídicas	16
50115	Fuentes de Ebro	Persona física	300
50115	Fuentes de Ebro	Sociedad cooperativa	4
50115	Fuentes de Ebro	Sociedad mercantil	4
50116	Fuentes de Jiloca	Entidad pública	1
50116	Fuentes de Jiloca	Otras condiciones jurídicas	2
50116	Fuentes de Jiloca	Persona física	47
50116	Fuentes de Jiloca	Sociedad cooperativa	1
50116	Fuentes de Jiloca	Sociedad mercantil	2
50117	Gallocanta	Persona física	42
50117	Gallocanta	Sociedad mercantil	1
50118	Gallur	Otras condiciones jurídicas	6
50118	Gallur	Persona física	111
50118	Gallur	Sociedad cooperativa	2
50118	Gallur	Sociedad mercantil	1
50119	Gelsa	Otras condiciones jurídicas	17
50119	Gelsa	Persona física	157
50119	Gelsa	Sociedad mercantil	1
50120	Godojos	Persona física	21
50121	Gotor	Entidad pública	1
50121	Gotor	Persona física	49
50122	Grisel	Persona física	18
50123	Grisén	Otras condiciones jurídicas	3
50123	Grisén	Persona física	18
50124	Herrera de los Navarros	Otras condiciones jurídicas	4
50124	Herrera de los Navarros	Persona física	125
50125	Ibdes	Entidad pública	1
50125	Ibdes	Persona física	77
50125	Ibdes	Sociedad mercantil	3
50126	Illueca	Entidad pública	1
50126	Illueca	Persona física	93
50128	Isuerre	Otras condiciones jurídicas	1
50128	Isuerre	Persona física	10
50129	Jaraba	Otras condiciones jurídicas	1
50129	Jaraba	Persona física	27
50130	Jarque	Entidad pública	1
50130	Jarque	Persona física	110
50130	Jarque	Sociedad mercantil	1
50131	Jaulín	Otras condiciones jurídicas	4
50131	Jaulín	Persona física	40
50131	Jaulín	Sociedad mercantil	3
50132	Joyosa (La)	Otras condiciones jurídicas	3
50132	Joyosa (La)	Persona física	16
50132	Joyosa (La)	Sociedad mercantil	1
50133	Lagata	Persona física	25
50134	Langa del Castillo	Otras condiciones jurídicas	3
50134	Langa del Castillo	Persona física	61
50135	Layana	Otras condiciones jurídicas	1
50135	Layana	Persona física	5
50136	Lécera	Otras condiciones jurídicas	8
50136	Lécera	Persona física	150
50136	Lécera	Sociedad mercantil	3
50137	Leciñena	Entidad pública	1
50137	Leciñena	Otras condiciones jurídicas	13
50137	Leciñena	Persona física	176
50137	Leciñena	Sociedad cooperativa	3
50137	Leciñena	Sociedad mercantil	9
50138	Lechón	Persona física	11
50138	Lechón	Sociedad mercantil	1
50139	Letux	Otras condiciones jurídicas	3
50139	Letux	Persona física	69
50139	Letux	Sociedad cooperativa	1
50139	Letux	Sociedad mercantil	1
50140	Litago	Otras condiciones jurídicas	1
50140	Litago	Persona física	20
50141	Lituénigo	Persona física	22
50142	Lobera de Onsella	Otras condiciones jurídicas	1
50142	Lobera de Onsella	Persona física	13
50143	Longares	Otras condiciones jurídicas	1
50143	Longares	Persona física	186
50144	Longás	Entidad pública	1
50144	Longás	Persona física	6
50146	Lucena de Jalón	Otras condiciones jurídicas	4
50146	Lucena de Jalón	Persona física	40
50146	Lucena de Jalón	Sociedad mercantil	2
50147	Luceni	Otras condiciones jurídicas	2
50147	Luceni	Persona física	46
50147	Luceni	Sociedad cooperativa	3
50147	Luceni	Sociedad mercantil	2
50148	Luesia	Entidad pública	1
50148	Luesia	Otras condiciones jurídicas	2
50148	Luesia	Persona física	60
50148	Luesia	Sociedad mercantil	1
50149	Luesma	Otras condiciones jurídicas	1
50149	Luesma	Persona física	9
50149	Luesma	Sociedad mercantil	1
50150	Lumpiaque	Entidad pública	1
50150	Lumpiaque	Otras condiciones jurídicas	4
50150	Lumpiaque	Persona física	102
50151	Luna	Otras condiciones jurídicas	21
50151	Luna	Persona física	198
50151	Luna	Sociedad cooperativa	5
50151	Luna	Sociedad mercantil	7
50152	Maella	Entidad pública	1
50152	Maella	Otras condiciones jurídicas	5
50152	Maella	Persona física	379
50152	Maella	Sociedad mercantil	9
50153	Magallón	Otras condiciones jurídicas	15
50153	Magallón	Persona física	159
50153	Magallón	Sociedad cooperativa	1
50153	Magallón	Sociedad mercantil	2
50154	Mainar	Otras condiciones jurídicas	2
50154	Mainar	Persona física	22
50154	Mainar	Sociedad mercantil	1
50155	Malanquilla	Otras condiciones jurídicas	1
50155	Malanquilla	Persona física	23
50155	Malanquilla	Sociedad mercantil	3
50156	Maleján	Otras condiciones jurídicas	1
50156	Maleján	Persona física	3
50157	Malón	Persona física	55
50157	Malón	Sociedad cooperativa	1
50157	Malón	Sociedad mercantil	2
50159	Maluenda	Persona física	116
50159	Maluenda	Sociedad mercantil	1
50160	Mallén	Otras condiciones jurídicas	5
50160	Mallén	Persona física	148
50160	Mallén	Sociedad mercantil	7
50161	Manchones	Otras condiciones jurídicas	2
50161	Manchones	Persona física	20
50162	Mara	Persona física	53
50163	María de Huerva	Otras condiciones jurídicas	2
50163	María de Huerva	Persona física	32
50163	María de Huerva	Sociedad mercantil	2
50164	Mediana de Aragón	Otras condiciones jurídicas	4
50164	Mediana de Aragón	Persona física	49
50164	Mediana de Aragón	Sociedad mercantil	1
50165	Mequinenza	Otras condiciones jurídicas	8
50165	Mequinenza	Persona física	321
50165	Mequinenza	Sociedad mercantil	6
50166	Mesones de Isuela	Entidad pública	1
50166	Mesones de Isuela	Otras condiciones jurídicas	1
50166	Mesones de Isuela	Persona física	88
50167	Mezalocha	Persona física	42
50167	Mezalocha	Sociedad mercantil	2
50168	Mianos	Persona física	8
50169	Miedes de Aragón	Otras condiciones jurídicas	1
50169	Miedes de Aragón	Persona física	111
50170	Monegrillo	Entidad pública	1
50170	Monegrillo	Otras condiciones jurídicas	7
50170	Monegrillo	Persona física	135
50170	Monegrillo	Sociedad cooperativa	3
50170	Monegrillo	Sociedad mercantil	2
50171	Moneva	Otras condiciones jurídicas	4
50171	Moneva	Persona física	45
50171	Moneva	Sociedad cooperativa	1
50171	Moneva	Sociedad mercantil	8
50172	Monreal de Ariza	Otras condiciones jurídicas	2
50172	Monreal de Ariza	Persona física	47
50172	Monreal de Ariza	Sociedad cooperativa	1
50172	Monreal de Ariza	Sociedad mercantil	2
50173	Monterde	Entidad pública	1
50173	Monterde	Persona física	33
50174	Montón	Otras condiciones jurídicas	1
50174	Montón	Persona física	26
50175	Morata de Jalón	Entidad pública	1
50175	Morata de Jalón	Otras condiciones jurídicas	3
50175	Morata de Jalón	Persona física	185
50176	Morata de Jiloca	Entidad pública	1
50176	Morata de Jiloca	Otras condiciones jurídicas	1
50176	Morata de Jiloca	Persona física	58
50176	Morata de Jiloca	Sociedad cooperativa	1
50176	Morata de Jiloca	Sociedad mercantil	1
50177	Morés	Entidad pública	1
50177	Morés	Otras condiciones jurídicas	2
50177	Morés	Persona física	45
50177	Morés	Sociedad mercantil	1
50178	Moros	Persona física	94
50178	Moros	Sociedad cooperativa	2
50179	Moyuela	Otras condiciones jurídicas	3
50179	Moyuela	Persona física	47
50180	Mozota	Persona física	14
50181	Muel	Otras condiciones jurídicas	5
50181	Muel	Persona física	96
50181	Muel	Sociedad mercantil	3
50182	Muela (La)	Entidad pública	1
50182	Muela (La)	Otras condiciones jurídicas	10
50182	Muela (La)	Persona física	125
50182	Muela (La)	Sociedad cooperativa	1
50182	Muela (La)	Sociedad mercantil	5
50183	Munébrega	Otras condiciones jurídicas	1
50183	Munébrega	Persona física	111
50183	Munébrega	Sociedad cooperativa	1
50183	Munébrega	Sociedad mercantil	1
50184	Murero	Persona física	26
50184	Murero	Sociedad mercantil	1
50185	Murillo de Gállego	Persona física	27
50185	Murillo de Gállego	Sociedad mercantil	1
50186	Navardún	Otras condiciones jurídicas	1
50186	Navardún	Persona física	25
50186	Navardún	Sociedad mercantil	1
50187	Nigüella	Entidad pública	1
50187	Nigüella	Persona física	20
50188	Nombrevilla	Otras condiciones jurídicas	1
50188	Nombrevilla	Persona física	9
50189	Nonaspe	Otras condiciones jurídicas	3
50189	Nonaspe	Persona física	191
50189	Nonaspe	Sociedad mercantil	4
50190	Novallas	Entidad pública	1
50190	Novallas	Persona física	108
50190	Novallas	Sociedad mercantil	1
50191	Novillas	Otras condiciones jurídicas	7
50191	Novillas	Persona física	108
50191	Novillas	Sociedad cooperativa	1
50191	Novillas	Sociedad mercantil	4
50192	Nuévalos	Otras condiciones jurídicas	1
50192	Nuévalos	Persona física	12
50192	Nuévalos	Sociedad mercantil	1
50193	Nuez de Ebro	Entidad pública	1
50193	Nuez de Ebro	Otras condiciones jurídicas	3
50193	Nuez de Ebro	Persona física	17
50194	Olvés	Persona física	50
50194	Olvés	Sociedad mercantil	1
50195	Orcajo	Persona física	17
50196	Orera	Persona física	41
50197	Orés	Entidad pública	1
50197	Orés	Otras condiciones jurídicas	2
50197	Orés	Persona física	36
50197	Orés	Sociedad cooperativa	1
50198	Oseja	Persona física	12
50199	Osera de Ebro	Otras condiciones jurídicas	3
50199	Osera de Ebro	Persona física	27
50200	Paniza	Persona física	207
50200	Paniza	Sociedad mercantil	1
50201	Paracuellos de Jiloca	Persona física	63
50201	Paracuellos de Jiloca	Sociedad cooperativa	1
50201	Paracuellos de Jiloca	Sociedad mercantil	1
50202	Paracuellos de la Ribera	Persona física	55
50202	Paracuellos de la Ribera	Sociedad mercantil	1
50203	Pastriz	Otras condiciones jurídicas	2
50203	Pastriz	Persona física	44
50203	Pastriz	Sociedad mercantil	2
50204	Pedrola	Entidad pública	1
50204	Pedrola	Otras condiciones jurídicas	15
50204	Pedrola	Persona física	148
50204	Pedrola	Sociedad cooperativa	1
50204	Pedrola	Sociedad mercantil	7
50205	Pedrosas (Las)	Otras condiciones jurídicas	3
50205	Pedrosas (Las)	Persona física	19
50206	Perdiguera	Otras condiciones jurídicas	5
50206	Perdiguera	Persona física	91
50206	Perdiguera	Sociedad cooperativa	2
50206	Perdiguera	Sociedad mercantil	4
50207	Piedratajada	Otras condiciones jurídicas	1
50207	Piedratajada	Persona física	16
50208	Pina de Ebro	Otras condiciones jurídicas	16
50208	Pina de Ebro	Persona física	297
50208	Pina de Ebro	Sociedad cooperativa	6
50208	Pina de Ebro	Sociedad mercantil	6
50209	Pinseque	Otras condiciones jurídicas	3
50209	Pinseque	Persona física	52
50209	Pinseque	Sociedad cooperativa	1
50209	Pinseque	Sociedad mercantil	1
50210	Pintanos (Los)	Otras condiciones jurídicas	1
50210	Pintanos (Los)	Persona física	16
50211	Plasencia de Jalón	Otras condiciones jurídicas	2
50211	Plasencia de Jalón	Persona física	44
50211	Plasencia de Jalón	Sociedad mercantil	2
50212	Pleitas	Persona física	8
50213	Plenas	Entidad pública	1
50213	Plenas	Persona física	35
50214	Pomer	Entidad pública	1
50214	Pomer	Persona física	2
50215	Pozuel de Ariza	Persona física	8
50216	Pozuelo de Aragón	Otras condiciones jurídicas	2
50216	Pozuelo de Aragón	Persona física	54
50216	Pozuelo de Aragón	Sociedad mercantil	1
50217	Pradilla de Ebro	Otras condiciones jurídicas	3
50217	Pradilla de Ebro	Persona física	72
50217	Pradilla de Ebro	Sociedad cooperativa	1
50217	Pradilla de Ebro	Sociedad mercantil	1
50218	Puebla de Albortón	Otras condiciones jurídicas	2
50218	Puebla de Albortón	Persona física	57
50218	Puebla de Albortón	Sociedad mercantil	5
50219	Puebla de Alfindén (La)	Otras condiciones jurídicas	4
50219	Puebla de Alfindén (La)	Persona física	32
50219	Puebla de Alfindén (La)	Sociedad mercantil	4
50220	Puendeluna	Persona física	9
50221	Purujosa	Entidad pública	1
50221	Purujosa	Persona física	3
50222	Quinto	Entidad pública	1
50222	Quinto	Otras condiciones jurídicas	16
50222	Quinto	Persona física	207
50222	Quinto	Sociedad cooperativa	3
50222	Quinto	Sociedad mercantil	9
50223	Remolinos	Entidad pública	1
50223	Remolinos	Otras condiciones jurídicas	2
50223	Remolinos	Persona física	60
50223	Remolinos	Sociedad cooperativa	2
50223	Remolinos	Sociedad mercantil	2
50224	Retascón	Otras condiciones jurídicas	1
50224	Retascón	Persona física	39
50225	Ricla	Entidad pública	1
50225	Ricla	Otras condiciones jurídicas	30
50225	Ricla	Persona física	298
50225	Ricla	Sociedad cooperativa	2
50225	Ricla	Sociedad mercantil	8
50227	Romanos	Entidad pública	1
50227	Romanos	Otras condiciones jurídicas	1
50227	Romanos	Persona física	33
50228	Rueda de Jalón	Entidad pública	1
50228	Rueda de Jalón	Otras condiciones jurídicas	4
50228	Rueda de Jalón	Persona física	105
50228	Rueda de Jalón	Sociedad mercantil	1
50229	Ruesca	Otras condiciones jurídicas	1
50229	Ruesca	Persona física	21
50230	Sádaba	Entidad pública	2
50230	Sádaba	Otras condiciones jurídicas	27
50230	Sádaba	Persona física	198
50230	Sádaba	Sociedad cooperativa	5
50230	Sádaba	Sociedad mercantil	4
50231	Salillas de Jalón	Persona física	11
50232	Salvatierra de Esca	Entidad pública	1
50232	Salvatierra de Esca	Otras condiciones jurídicas	2
50232	Salvatierra de Esca	Persona física	16
50233	Samper del Salz	Entidad pública	1
50233	Samper del Salz	Otras condiciones jurídicas	1
50233	Samper del Salz	Persona física	4
50234	San Martín de la Virgen de Moncayo	Otras condiciones jurídicas	2
50234	San Martín de la Virgen de Moncayo	Persona física	13
50235	San Mateo de Gállego	Otras condiciones jurídicas	4
50235	San Mateo de Gállego	Persona física	94
50235	San Mateo de Gállego	Sociedad cooperativa	2
50235	San Mateo de Gállego	Sociedad mercantil	1
50236	Santa Cruz de Grío	Entidad pública	1
50236	Santa Cruz de Grío	Persona física	59
50237	Santa Cruz de Moncayo	Otras condiciones jurídicas	1
50237	Santa Cruz de Moncayo	Persona física	18
50238	Santa Eulalia de Gállego	Persona física	17
50239	Santed	Entidad pública	1
50239	Santed	Persona física	18
50240	Sástago	Otras condiciones jurídicas	10
50240	Sástago	Persona física	153
50240	Sástago	Sociedad mercantil	5
50241	Saviñán	Entidad pública	1
50241	Saviñán	Persona física	78
50241	Saviñán	Sociedad mercantil	3
50242	Sediles	Otras condiciones jurídicas	1
50242	Sediles	Persona física	26
50243	Sestrica	Entidad pública	1
50243	Sestrica	Persona física	123
50244	Sierra de Luna	Otras condiciones jurídicas	5
50244	Sierra de Luna	Persona física	50
50244	Sierra de Luna	Sociedad cooperativa	1
50245	Sigüés	Otras condiciones jurídicas	3
50245	Sigüés	Persona física	17
50246	Sisamón	Otras condiciones jurídicas	1
50246	Sisamón	Persona física	10
50247	Sobradiel	Entidad pública	1
50247	Sobradiel	Otras condiciones jurídicas	2
50247	Sobradiel	Persona física	23
50248	Sos del Rey Católico	Otras condiciones jurídicas	15
50248	Sos del Rey Católico	Persona física	156
50248	Sos del Rey Católico	Sociedad cooperativa	2
50248	Sos del Rey Católico	Sociedad mercantil	2
50249	Tabuenca	Otras condiciones jurídicas	1
50249	Tabuenca	Persona física	151
50249	Tabuenca	Sociedad mercantil	2
50250	Talamantes	Otras condiciones jurídicas	3
50250	Talamantes	Persona física	8
50251	Tarazona	Entidad pública	1
50251	Tarazona	Otras condiciones jurídicas	8
50251	Tarazona	Persona física	302
50251	Tarazona	Sociedad cooperativa	1
50251	Tarazona	Sociedad mercantil	10
50252	Tauste	Entidad pública	1
50252	Tauste	Otras condiciones jurídicas	80
50252	Tauste	Persona física	739
50252	Tauste	Sociedad cooperativa	11
50252	Tauste	Sociedad mercantil	27
50253	Terrer	Persona física	64
50253	Terrer	Sociedad mercantil	1
50254	Tierga	Entidad pública	1
50254	Tierga	Otras condiciones jurídicas	3
50254	Tierga	Persona física	58
50255	Tobed	Entidad pública	1
50255	Tobed	Otras condiciones jurídicas	1
50255	Tobed	Persona física	45
50256	Torralba de los Frailes	Otras condiciones jurídicas	1
50256	Torralba de los Frailes	Persona física	52
50257	Torralba de Ribota	Persona física	61
50257	Torralba de Ribota	Sociedad mercantil	1
50258	Torralbilla	Persona física	10
50259	Torrehermosa	Otras condiciones jurídicas	1
50259	Torrehermosa	Persona física	17
50260	Torrelapaja	Entidad pública	1
50260	Torrelapaja	Persona física	7
50261	Torrellas	Persona física	18
50261	Torrellas	Sociedad mercantil	1
50262	Torres de Berrellén	Entidad pública	1
50262	Torres de Berrellén	Otras condiciones jurídicas	5
50262	Torres de Berrellén	Persona física	62
50262	Torres de Berrellén	Sociedad mercantil	1
50263	Torrijo de la Cañada	Otras condiciones jurídicas	1
50263	Torrijo de la Cañada	Persona física	43
50263	Torrijo de la Cañada	Sociedad mercantil	2
50264	Tosos	Entidad pública	1
50264	Tosos	Otras condiciones jurídicas	4
50264	Tosos	Persona física	86
50264	Tosos	Sociedad mercantil	2
50265	Trasmoz	Persona física	21
50266	Trasobares	Entidad pública	1
50266	Trasobares	Persona física	43
50267	Uncastillo	Otras condiciones jurídicas	14
50267	Uncastillo	Persona física	81
50267	Uncastillo	Sociedad mercantil	5
50268	Undués de Lerda	Entidad pública	1
50268	Undués de Lerda	Otras condiciones jurídicas	3
50268	Undués de Lerda	Persona física	6
50268	Undués de Lerda	Sociedad mercantil	2
50269	Urrea de Jalón	Otras condiciones jurídicas	4
50269	Urrea de Jalón	Persona física	50
