Comarca código	Comarca nombre	Situación preferente	Lugar trabajo o estudio	Tiempo desplazamiento	Personas residentes viviendas familiares
22	Campo de Belchite	Estudiantes que no trabajan	En otro municipio	60-90 minutos	7
22	Campo de Belchite	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	1
22	Campo de Belchite	Trabajadores	En el mismo municipio de residencia	 No aplicable	52
22	Campo de Belchite	Trabajadores	En el mismo municipio de residencia	0-10 minutos	505
22	Campo de Belchite	Trabajadores	En el mismo municipio de residencia	10-20 minutos	242
22	Campo de Belchite	Trabajadores	En el mismo municipio de residencia	20-30 minutos	71
22	Campo de Belchite	Trabajadores	En el mismo municipio de residencia	30-45 minutos	27
22	Campo de Belchite	Trabajadores	En el mismo municipio de residencia	45-60 minutos	14
22	Campo de Belchite	Trabajadores	En el mismo municipio de residencia	60-90 minutos	2
22	Campo de Belchite	Trabajadores	En otro municipio	 No aplicable	412
22	Campo de Belchite	Trabajadores	En otro municipio	0-10 minutos	10
22	Campo de Belchite	Trabajadores	En otro municipio	10-20 minutos	111
22	Campo de Belchite	Trabajadores	En otro municipio	20-30 minutos	73
22	Campo de Belchite	Trabajadores	En otro municipio	30-45 minutos	77
22	Campo de Belchite	Trabajadores	En otro municipio	45-60 minutos	48
22	Campo de Belchite	Trabajadores	En otro municipio	60-90 minutos	37
22	Campo de Belchite	Trabajadores	En otro municipio	90 ó más minutos	9
23	Bajo Martín	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	2
23	Bajo Martín	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	56
23	Bajo Martín	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	1
23	Bajo Martín	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	1
23	Bajo Martín	Estudiantes que no trabajan	En otro municipio	 No aplicable	192
23	Bajo Martín	Estudiantes que no trabajan	En otro municipio	0-10 minutos	12
23	Bajo Martín	Estudiantes que no trabajan	En otro municipio	10-20 minutos	18
23	Bajo Martín	Estudiantes que no trabajan	En otro municipio	20-30 minutos	44
23	Bajo Martín	Estudiantes que no trabajan	En otro municipio	30-45 minutos	44
23	Bajo Martín	Estudiantes que no trabajan	En otro municipio	45-60 minutos	11
23	Bajo Martín	Trabajadores	En el mismo municipio de residencia	 No aplicable	5
23	Bajo Martín	Trabajadores	En el mismo municipio de residencia	0-10 minutos	941
23	Bajo Martín	Trabajadores	En el mismo municipio de residencia	10-20 minutos	214
23	Bajo Martín	Trabajadores	En el mismo municipio de residencia	20-30 minutos	57
23	Bajo Martín	Trabajadores	En el mismo municipio de residencia	30-45 minutos	11
23	Bajo Martín	Trabajadores	En el mismo municipio de residencia	45-60 minutos	6
23	Bajo Martín	Trabajadores	En el mismo municipio de residencia	60-90 minutos	1
23	Bajo Martín	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	1
23	Bajo Martín	Trabajadores	En otro municipio	 No aplicable	316
23	Bajo Martín	Trabajadores	En otro municipio	0-10 minutos	145
23	Bajo Martín	Trabajadores	En otro municipio	10-20 minutos	162
23	Bajo Martín	Trabajadores	En otro municipio	20-30 minutos	133
23	Bajo Martín	Trabajadores	En otro municipio	30-45 minutos	86
23	Bajo Martín	Trabajadores	En otro municipio	45-60 minutos	49
23	Bajo Martín	Trabajadores	En otro municipio	60-90 minutos	25
23	Bajo Martín	Trabajadores	En otro municipio	90 ó más minutos	1
24	Campo de Daroca	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	2
24	Campo de Daroca	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	33
24	Campo de Daroca	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	24
24	Campo de Daroca	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	3
24	Campo de Daroca	Estudiantes que no trabajan	En otro municipio	 No aplicable	148
24	Campo de Daroca	Estudiantes que no trabajan	En otro municipio	10-20 minutos	13
24	Campo de Daroca	Estudiantes que no trabajan	En otro municipio	20-30 minutos	14
24	Campo de Daroca	Estudiantes que no trabajan	En otro municipio	30-45 minutos	11
24	Campo de Daroca	Estudiantes que no trabajan	En otro municipio	45-60 minutos	11
24	Campo de Daroca	Estudiantes que no trabajan	En otro municipio	60-90 minutos	8
24	Campo de Daroca	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	1
24	Campo de Daroca	Trabajadores	En el mismo municipio de residencia	 No aplicable	26
24	Campo de Daroca	Trabajadores	En el mismo municipio de residencia	0-10 minutos	797
24	Campo de Daroca	Trabajadores	En el mismo municipio de residencia	10-20 minutos	347
24	Campo de Daroca	Trabajadores	En el mismo municipio de residencia	20-30 minutos	117
24	Campo de Daroca	Trabajadores	En el mismo municipio de residencia	30-45 minutos	27
24	Campo de Daroca	Trabajadores	En el mismo municipio de residencia	45-60 minutos	8
24	Campo de Daroca	Trabajadores	En el mismo municipio de residencia	60-90 minutos	4
24	Campo de Daroca	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	1
24	Campo de Daroca	Trabajadores	En otro municipio	 No aplicable	500
24	Campo de Daroca	Trabajadores	En otro municipio	0-10 minutos	23
24	Campo de Daroca	Trabajadores	En otro municipio	10-20 minutos	61
24	Campo de Daroca	Trabajadores	En otro municipio	20-30 minutos	57
24	Campo de Daroca	Trabajadores	En otro municipio	30-45 minutos	31
24	Campo de Daroca	Trabajadores	En otro municipio	45-60 minutos	21
24	Campo de Daroca	Trabajadores	En otro municipio	60-90 minutos	19
24	Campo de Daroca	Trabajadores	En otro municipio	90 ó más minutos	3
25	Jiloca	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	4
25	Jiloca	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	127
25	Jiloca	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	18
25	Jiloca	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	2
25	Jiloca	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	2
25	Jiloca	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	1
25	Jiloca	Estudiantes que no trabajan	En otro municipio	 No aplicable	489
25	Jiloca	Estudiantes que no trabajan	En otro municipio	0-10 minutos	21
25	Jiloca	Estudiantes que no trabajan	En otro municipio	10-20 minutos	34
25	Jiloca	Estudiantes que no trabajan	En otro municipio	20-30 minutos	5
25	Jiloca	Estudiantes que no trabajan	En otro municipio	30-45 minutos	11
25	Jiloca	Estudiantes que no trabajan	En otro municipio	45-60 minutos	5
25	Jiloca	Estudiantes que no trabajan	En otro municipio	60-90 minutos	3
25	Jiloca	Trabajadores	En el mismo municipio de residencia	 No aplicable	22
25	Jiloca	Trabajadores	En el mismo municipio de residencia	0-10 minutos	2231
25	Jiloca	Trabajadores	En el mismo municipio de residencia	10-20 minutos	486
25	Jiloca	Trabajadores	En el mismo municipio de residencia	20-30 minutos	165
25	Jiloca	Trabajadores	En el mismo municipio de residencia	30-45 minutos	20
25	Jiloca	Trabajadores	En el mismo municipio de residencia	45-60 minutos	9
25	Jiloca	Trabajadores	En el mismo municipio de residencia	60-90 minutos	3
25	Jiloca	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	1
25	Jiloca	Trabajadores	En otro municipio	 No aplicable	678
25	Jiloca	Trabajadores	En otro municipio	0-10 minutos	160
25	Jiloca	Trabajadores	En otro municipio	10-20 minutos	309
25	Jiloca	Trabajadores	En otro municipio	20-30 minutos	79
25	Jiloca	Trabajadores	En otro municipio	30-45 minutos	51
25	Jiloca	Trabajadores	En otro municipio	45-60 minutos	25
25	Jiloca	Trabajadores	En otro municipio	60-90 minutos	16
25	Jiloca	Trabajadores	En otro municipio	90 ó más minutos	2
26	Cuencas Mineras	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	9
26	Cuencas Mineras	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	136
26	Cuencas Mineras	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	33
26	Cuencas Mineras	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	3
26	Cuencas Mineras	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	3
26	Cuencas Mineras	Estudiantes que no trabajan	En otro municipio	 No aplicable	236
26	Cuencas Mineras	Estudiantes que no trabajan	En otro municipio	0-10 minutos	28
26	Cuencas Mineras	Estudiantes que no trabajan	En otro municipio	10-20 minutos	80
26	Cuencas Mineras	Estudiantes que no trabajan	En otro municipio	20-30 minutos	16
26	Cuencas Mineras	Estudiantes que no trabajan	En otro municipio	30-45 minutos	12
26	Cuencas Mineras	Estudiantes que no trabajan	En otro municipio	45-60 minutos	6
26	Cuencas Mineras	Estudiantes que no trabajan	En otro municipio	60-90 minutos	9
26	Cuencas Mineras	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	2
26	Cuencas Mineras	Trabajadores	En el mismo municipio de residencia	 No aplicable	28
26	Cuencas Mineras	Trabajadores	En el mismo municipio de residencia	0-10 minutos	1247
26	Cuencas Mineras	Trabajadores	En el mismo municipio de residencia	10-20 minutos	262
26	Cuencas Mineras	Trabajadores	En el mismo municipio de residencia	20-30 minutos	50
26	Cuencas Mineras	Trabajadores	En el mismo municipio de residencia	30-45 minutos	14
26	Cuencas Mineras	Trabajadores	En el mismo municipio de residencia	45-60 minutos	7
26	Cuencas Mineras	Trabajadores	En el mismo municipio de residencia	60-90 minutos	2
26	Cuencas Mineras	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	3
26	Cuencas Mineras	Trabajadores	En otro municipio	 No aplicable	404
26	Cuencas Mineras	Trabajadores	En otro municipio	0-10 minutos	172
26	Cuencas Mineras	Trabajadores	En otro municipio	10-20 minutos	313
26	Cuencas Mineras	Trabajadores	En otro municipio	20-30 minutos	64
26	Cuencas Mineras	Trabajadores	En otro municipio	30-45 minutos	35
26	Cuencas Mineras	Trabajadores	En otro municipio	45-60 minutos	52
26	Cuencas Mineras	Trabajadores	En otro municipio	60-90 minutos	16
26	Cuencas Mineras	Trabajadores	En otro municipio	90 ó más minutos	6
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	8
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	214
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	54
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	1
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	1
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	1
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En otro municipio	 No aplicable	349
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En otro municipio	0-10 minutos	32
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En otro municipio	10-20 minutos	35
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En otro municipio	20-30 minutos	32
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En otro municipio	30-45 minutos	14
27	Andorra-Sierra de Arcos	Estudiantes que no trabajan	En otro municipio	45-60 minutos	5
27	Andorra-Sierra de Arcos	Trabajadores	En el mismo municipio de residencia	 No aplicable	32
27	Andorra-Sierra de Arcos	Trabajadores	En el mismo municipio de residencia	0-10 minutos	1411
27	Andorra-Sierra de Arcos	Trabajadores	En el mismo municipio de residencia	10-20 minutos	687
27	Andorra-Sierra de Arcos	Trabajadores	En el mismo municipio de residencia	20-30 minutos	77
27	Andorra-Sierra de Arcos	Trabajadores	En el mismo municipio de residencia	30-45 minutos	17
27	Andorra-Sierra de Arcos	Trabajadores	En el mismo municipio de residencia	45-60 minutos	4
27	Andorra-Sierra de Arcos	Trabajadores	En el mismo municipio de residencia	60-90 minutos	1
27	Andorra-Sierra de Arcos	Trabajadores	En otro municipio	 No aplicable	289
27	Andorra-Sierra de Arcos	Trabajadores	En otro municipio	0-10 minutos	30
27	Andorra-Sierra de Arcos	Trabajadores	En otro municipio	10-20 minutos	151
27	Andorra-Sierra de Arcos	Trabajadores	En otro municipio	20-30 minutos	177
27	Andorra-Sierra de Arcos	Trabajadores	En otro municipio	30-45 minutos	90
27	Andorra-Sierra de Arcos	Trabajadores	En otro municipio	45-60 minutos	25
27	Andorra-Sierra de Arcos	Trabajadores	En otro municipio	60-90 minutos	8
27	Andorra-Sierra de Arcos	Trabajadores	En otro municipio	90 ó más minutos	4
28	Bajo Aragón	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	17
28	Bajo Aragón	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	261
28	Bajo Aragón	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	150
28	Bajo Aragón	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	44
28	Bajo Aragón	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	2
28	Bajo Aragón	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
28	Bajo Aragón	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	3
28	Bajo Aragón	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	2
28	Bajo Aragón	Estudiantes que no trabajan	En otro municipio	 No aplicable	758
28	Bajo Aragón	Estudiantes que no trabajan	En otro municipio	0-10 minutos	5
28	Bajo Aragón	Estudiantes que no trabajan	En otro municipio	10-20 minutos	87
28	Bajo Aragón	Estudiantes que no trabajan	En otro municipio	20-30 minutos	76
28	Bajo Aragón	Estudiantes que no trabajan	En otro municipio	30-45 minutos	87
28	Bajo Aragón	Estudiantes que no trabajan	En otro municipio	45-60 minutos	8
28	Bajo Aragón	Estudiantes que no trabajan	En otro municipio	60-90 minutos	5
28	Bajo Aragón	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	7
28	Bajo Aragón	Trabajadores	En el mismo municipio de residencia	 No aplicable	45
28	Bajo Aragón	Trabajadores	En el mismo municipio de residencia	0-10 minutos	4699
28	Bajo Aragón	Trabajadores	En el mismo municipio de residencia	10-20 minutos	1984
28	Bajo Aragón	Trabajadores	En el mismo municipio de residencia	20-30 minutos	365
28	Bajo Aragón	Trabajadores	En el mismo municipio de residencia	30-45 minutos	51
28	Bajo Aragón	Trabajadores	En el mismo municipio de residencia	45-60 minutos	10
28	Bajo Aragón	Trabajadores	En el mismo municipio de residencia	60-90 minutos	12
28	Bajo Aragón	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	8
28	Bajo Aragón	Trabajadores	En otro municipio	 No aplicable	570
28	Bajo Aragón	Trabajadores	En otro municipio	0-10 minutos	55
28	Bajo Aragón	Trabajadores	En otro municipio	10-20 minutos	543
28	Bajo Aragón	Trabajadores	En otro municipio	20-30 minutos	517
28	Bajo Aragón	Trabajadores	En otro municipio	30-45 minutos	222
28	Bajo Aragón	Trabajadores	En otro municipio	45-60 minutos	38
28	Bajo Aragón	Trabajadores	En otro municipio	60-90 minutos	43
28	Bajo Aragón	Trabajadores	En otro municipio	90 ó más minutos	21
29	Comunidad de Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	25
29	Comunidad de Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	664
29	Comunidad de Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	836
29	Comunidad de Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	186
29	Comunidad de Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	34
29	Comunidad de Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	6
29	Comunidad de Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	60-90 minutos	2
29	Comunidad de Teruel	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	1
29	Comunidad de Teruel	Estudiantes que no trabajan	En otro municipio	 No aplicable	815
29	Comunidad de Teruel	Estudiantes que no trabajan	En otro municipio	0-10 minutos	22
29	Comunidad de Teruel	Estudiantes que no trabajan	En otro municipio	10-20 minutos	58
29	Comunidad de Teruel	Estudiantes que no trabajan	En otro municipio	20-30 minutos	186
29	Comunidad de Teruel	Estudiantes que no trabajan	En otro municipio	30-45 minutos	35
29	Comunidad de Teruel	Estudiantes que no trabajan	En otro municipio	45-60 minutos	5
29	Comunidad de Teruel	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	3
29	Comunidad de Teruel	Trabajadores	En el mismo municipio de residencia	 No aplicable	75
29	Comunidad de Teruel	Trabajadores	En el mismo municipio de residencia	0-10 minutos	6616
29	Comunidad de Teruel	Trabajadores	En el mismo municipio de residencia	10-20 minutos	5840
29	Comunidad de Teruel	Trabajadores	En el mismo municipio de residencia	20-30 minutos	734
29	Comunidad de Teruel	Trabajadores	En el mismo municipio de residencia	30-45 minutos	133
29	Comunidad de Teruel	Trabajadores	En el mismo municipio de residencia	45-60 minutos	39
29	Comunidad de Teruel	Trabajadores	En el mismo municipio de residencia	60-90 minutos	14
29	Comunidad de Teruel	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	15
29	Comunidad de Teruel	Trabajadores	En otro municipio	 No aplicable	987
29	Comunidad de Teruel	Trabajadores	En otro municipio	0-10 minutos	58
29	Comunidad de Teruel	Trabajadores	En otro municipio	10-20 minutos	356
29	Comunidad de Teruel	Trabajadores	En otro municipio	20-30 minutos	688
29	Comunidad de Teruel	Trabajadores	En otro municipio	30-45 minutos	311
29	Comunidad de Teruel	Trabajadores	En otro municipio	45-60 minutos	100
29	Comunidad de Teruel	Trabajadores	En otro municipio	60-90 minutos	35
29	Comunidad de Teruel	Trabajadores	En otro municipio	90 ó más minutos	11
30	Maestrazgo	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	1
30	Maestrazgo	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	4
30	Maestrazgo	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	1
30	Maestrazgo	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	1
30	Maestrazgo	Estudiantes que no trabajan	En otro municipio	 No aplicable	119
30	Maestrazgo	Estudiantes que no trabajan	En otro municipio	30-45 minutos	1
30	Maestrazgo	Estudiantes que no trabajan	En otro municipio	45-60 minutos	14
30	Maestrazgo	Estudiantes que no trabajan	En otro municipio	60-90 minutos	2
30	Maestrazgo	Trabajadores	En el mismo municipio de residencia	 No aplicable	13
30	Maestrazgo	Trabajadores	En el mismo municipio de residencia	0-10 minutos	398
30	Maestrazgo	Trabajadores	En el mismo municipio de residencia	10-20 minutos	224
30	Maestrazgo	Trabajadores	En el mismo municipio de residencia	20-30 minutos	84
30	Maestrazgo	Trabajadores	En el mismo municipio de residencia	30-45 minutos	37
30	Maestrazgo	Trabajadores	En el mismo municipio de residencia	45-60 minutos	6
30	Maestrazgo	Trabajadores	En el mismo municipio de residencia	60-90 minutos	3
30	Maestrazgo	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	5
30	Maestrazgo	Trabajadores	En otro municipio	 No aplicable	153
30	Maestrazgo	Trabajadores	En otro municipio	0-10 minutos	10
30	Maestrazgo	Trabajadores	En otro municipio	10-20 minutos	103
30	Maestrazgo	Trabajadores	En otro municipio	20-30 minutos	34
30	Maestrazgo	Trabajadores	En otro municipio	30-45 minutos	15
30	Maestrazgo	Trabajadores	En otro municipio	45-60 minutos	12
30	Maestrazgo	Trabajadores	En otro municipio	60-90 minutos	4
30	Maestrazgo	Trabajadores	En otro municipio	90 ó más minutos	8
31	Sierra de Albarracín	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	7
31	Sierra de Albarracín	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	5
31	Sierra de Albarracín	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	4
31	Sierra de Albarracín	Estudiantes que no trabajan	En el mismo municipio de residencia	30-45 minutos	1
31	Sierra de Albarracín	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	2
31	Sierra de Albarracín	Estudiantes que no trabajan	En otro municipio	 No aplicable	141
31	Sierra de Albarracín	Estudiantes que no trabajan	En otro municipio	10-20 minutos	7
31	Sierra de Albarracín	Estudiantes que no trabajan	En otro municipio	20-30 minutos	16
31	Sierra de Albarracín	Estudiantes que no trabajan	En otro municipio	30-45 minutos	6
31	Sierra de Albarracín	Estudiantes que no trabajan	En otro municipio	45-60 minutos	2
31	Sierra de Albarracín	Estudiantes que no trabajan	En otro municipio	60-90 minutos	1
31	Sierra de Albarracín	Trabajadores	En el mismo municipio de residencia	 No aplicable	23
31	Sierra de Albarracín	Trabajadores	En el mismo municipio de residencia	0-10 minutos	614
31	Sierra de Albarracín	Trabajadores	En el mismo municipio de residencia	10-20 minutos	298
31	Sierra de Albarracín	Trabajadores	En el mismo municipio de residencia	20-30 minutos	64
31	Sierra de Albarracín	Trabajadores	En el mismo municipio de residencia	30-45 minutos	8
31	Sierra de Albarracín	Trabajadores	En el mismo municipio de residencia	45-60 minutos	5
31	Sierra de Albarracín	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	3
31	Sierra de Albarracín	Trabajadores	En otro municipio	 No aplicable	354
31	Sierra de Albarracín	Trabajadores	En otro municipio	0-10 minutos	11
31	Sierra de Albarracín	Trabajadores	En otro municipio	10-20 minutos	52
31	Sierra de Albarracín	Trabajadores	En otro municipio	20-30 minutos	83
31	Sierra de Albarracín	Trabajadores	En otro municipio	30-45 minutos	37
31	Sierra de Albarracín	Trabajadores	En otro municipio	45-60 minutos	11
32	Gúdar-Javalambre	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	7
32	Gúdar-Javalambre	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	7
32	Gúdar-Javalambre	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	3
32	Gúdar-Javalambre	Estudiantes que no trabajan	En el mismo municipio de residencia	45-60 minutos	1
32	Gúdar-Javalambre	Estudiantes que no trabajan	En otro municipio	 No aplicable	188
32	Gúdar-Javalambre	Estudiantes que no trabajan	En otro municipio	0-10 minutos	3
32	Gúdar-Javalambre	Estudiantes que no trabajan	En otro municipio	10-20 minutos	14
32	Gúdar-Javalambre	Estudiantes que no trabajan	En otro municipio	20-30 minutos	12
32	Gúdar-Javalambre	Estudiantes que no trabajan	En otro municipio	30-45 minutos	53
32	Gúdar-Javalambre	Estudiantes que no trabajan	En otro municipio	45-60 minutos	6
32	Gúdar-Javalambre	Estudiantes que no trabajan	En otro municipio	60-90 minutos	3
32	Gúdar-Javalambre	Trabajadores	En el mismo municipio de residencia	 No aplicable	29
32	Gúdar-Javalambre	Trabajadores	En el mismo municipio de residencia	0-10 minutos	1146
32	Gúdar-Javalambre	Trabajadores	En el mismo municipio de residencia	10-20 minutos	380
32	Gúdar-Javalambre	Trabajadores	En el mismo municipio de residencia	20-30 minutos	135
32	Gúdar-Javalambre	Trabajadores	En el mismo municipio de residencia	30-45 minutos	42
32	Gúdar-Javalambre	Trabajadores	En el mismo municipio de residencia	45-60 minutos	9
32	Gúdar-Javalambre	Trabajadores	En el mismo municipio de residencia	60-90 minutos	4
32	Gúdar-Javalambre	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	6
32	Gúdar-Javalambre	Trabajadores	En otro municipio	 No aplicable	281
32	Gúdar-Javalambre	Trabajadores	En otro municipio	0-10 minutos	31
32	Gúdar-Javalambre	Trabajadores	En otro municipio	10-20 minutos	166
32	Gúdar-Javalambre	Trabajadores	En otro municipio	20-30 minutos	97
32	Gúdar-Javalambre	Trabajadores	En otro municipio	30-45 minutos	87
32	Gúdar-Javalambre	Trabajadores	En otro municipio	45-60 minutos	20
32	Gúdar-Javalambre	Trabajadores	En otro municipio	60-90 minutos	18
32	Gúdar-Javalambre	Trabajadores	En otro municipio	90 ó más minutos	11
33	Matarraña / Matarranya	Estudiantes que no trabajan	En el mismo municipio de residencia	 No aplicable	3
33	Matarraña / Matarranya	Estudiantes que no trabajan	En el mismo municipio de residencia	0-10 minutos	32
33	Matarraña / Matarranya	Estudiantes que no trabajan	En el mismo municipio de residencia	10-20 minutos	7
33	Matarraña / Matarranya	Estudiantes que no trabajan	En el mismo municipio de residencia	20-30 minutos	2
33	Matarraña / Matarranya	Estudiantes que no trabajan	En el mismo municipio de residencia	90 ó más minutos	1
33	Matarraña / Matarranya	Estudiantes que no trabajan	En otro municipio	 No aplicable	239
33	Matarraña / Matarranya	Estudiantes que no trabajan	En otro municipio	0-10 minutos	2
33	Matarraña / Matarranya	Estudiantes que no trabajan	En otro municipio	10-20 minutos	29
33	Matarraña / Matarranya	Estudiantes que no trabajan	En otro municipio	20-30 minutos	49
33	Matarraña / Matarranya	Estudiantes que no trabajan	En otro municipio	30-45 minutos	38
33	Matarraña / Matarranya	Estudiantes que no trabajan	En otro municipio	45-60 minutos	7
33	Matarraña / Matarranya	Estudiantes que no trabajan	En otro municipio	60-90 minutos	2
33	Matarraña / Matarranya	Estudiantes que no trabajan	En otro municipio	90 ó más minutos	1
33	Matarraña / Matarranya	Trabajadores	En el mismo municipio de residencia	 No aplicable	13
33	Matarraña / Matarranya	Trabajadores	En el mismo municipio de residencia	0-10 minutos	1113
33	Matarraña / Matarranya	Trabajadores	En el mismo municipio de residencia	10-20 minutos	617
33	Matarraña / Matarranya	Trabajadores	En el mismo municipio de residencia	20-30 minutos	299
33	Matarraña / Matarranya	Trabajadores	En el mismo municipio de residencia	30-45 minutos	78
33	Matarraña / Matarranya	Trabajadores	En el mismo municipio de residencia	45-60 minutos	10
33	Matarraña / Matarranya	Trabajadores	En el mismo municipio de residencia	60-90 minutos	4
33	Matarraña / Matarranya	Trabajadores	En el mismo municipio de residencia	90 ó más minutos	7
33	Matarraña / Matarranya	Trabajadores	En otro municipio	 No aplicable	225
33	Matarraña / Matarranya	Trabajadores	En otro municipio	0-10 minutos	31
33	Matarraña / Matarranya	Trabajadores	En otro municipio	10-20 minutos	170
33	Matarraña / Matarranya	Trabajadores	En otro municipio	20-30 minutos	141
33	Matarraña / Matarranya	Trabajadores	En otro municipio	30-45 minutos	63
33	Matarraña / Matarranya	Trabajadores	En otro municipio	45-60 minutos	20
33	Matarraña / Matarranya	Trabajadores	En otro municipio	60-90 minutos	3
33	Matarraña / Matarranya	Trabajadores	En otro municipio	90 ó más minutos	4
